vintage,age,gender,line,table_code,qx,source
2000,53,M,non_pension_type1,CL1,0.004434,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,54,M,non_pension_type1,CL1,0.004778,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,55,M,non_pension_type1,CL1,0.005203,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,56,M,non_pension_type1,CL1,0.005744,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,57,M,non_pension_type1,CL1,0.006427,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,58,M,non_pension_type1,CL1,0.00726,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,59,M,non_pension_type1,CL1,0.008229,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,60,M,non_pension_type1,CL1,0.009313,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,61,M,non_pension_type1,CL1,0.01049,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,62,M,non_pension_type1,CL1,0.011747,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,63,M,non_pension_type1,CL1,0.013091,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,64,M,non_pension_type1,CL1,0.014542,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,65,M,non_pension_type1,CL1,0.016134,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,66,M,non_pension_type1,CL1,0.017905,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,67,M,non_pension_type1,CL1,0.019886,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,68,M,non_pension_type1,CL1,0.022103,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,69,M,non_pension_type1,CL1,0.024571,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,70,M,non_pension_type1,CL1,0.027309,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,71,M,non_pension_type1,CL1,0.03034,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,72,M,non_pension_type1,CL1,0.033684,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,73,M,non_pension_type1,CL1,0.037371,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,74,M,non_pension_type1,CL1,0.04143,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,75,M,non_pension_type1,CL1,0.045902,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,76,M,non_pension_type1,CL1,0.050829,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,77,M,non_pension_type1,CL1,0.056262,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,78,M,non_pension_type1,CL1,0.062257,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,79,M,non_pension_type1,CL1,0.068871,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,80,M,non_pension_type1,CL1,0.076187,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,81,M,non_pension_type1,CL1,0.084224,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,82,M,non_pension_type1,CL1,0.093071,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,83,M,non_pension_type1,CL1,0.1028,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,84,M,non_pension_type1,CL1,0.113489,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,85,M,non_pension_type1,CL1,0.125221,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,86,M,non_pension_type1,CL1,0.13808,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,87,M,non_pension_type1,CL1,0.152157,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,88,M,non_pension_type1,CL1,0.167543,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,89,M,non_pension_type1,CL1,0.184333,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,90,M,non_pension_type1,CL1,0.202621,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,91,M,non_pension_type1,CL1,0.2225,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,92,M,non_pension_type1,CL1,0.244059,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,93,M,non_pension_type1,CL1,0.267383,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,94,M,non_pension_type1,CL1,0.292544,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,95,M,non_pension_type1,CL1,0.319604,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,96,M,non_pension_type1,CL1,0.348606,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,97,M,non_pension_type1,CL1,0.379572,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,98,M,non_pension_type1,CL1,0.412495,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,99,M,non_pension_type1,CL1,0.447334,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,100,M,non_pension_type1,CL1,0.48401,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,101,M,non_pension_type1,CL1,0.522397,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,102,M,non_pension_type1,CL1,0.562317,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,103,M,non_pension_type1,CL1,0.603539,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,104,M,non_pension_type1,CL1,0.64577,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,105,M,non_pension_type1,CL1,1.0,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,0,F,pension,CL4,0.000575,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,1,F,pension,CL4,0.000466,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,2,F,pension,CL4,0.000369,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,3,F,pension,CL4,0.00029,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,4,F,pension,CL4,0.000232,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,5,F,pension,CL4,0.000195,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,6,F,pension,CL4,0.000175,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,7,F,pension,CL4,0.000164,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,8,F,pension,CL4,0.000158,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,9,F,pension,CL4,0.000152,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,10,F,pension,CL4,0.000147,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,11,F,pension,CL4,0.000143,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,12,F,pension,CL4,0.000143,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,13,F,pension,CL4,0.000147,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,14,F,pension,CL4,0.000156,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,15,F,pension,CL4,0.000167,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,16,F,pension,CL4,0.000181,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,17,F,pension,CL4,0.000196,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,18,F,pension,CL4,0.000213,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,19,F,pension,CL4,0.00023,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,20,F,pension,CL4,0.000246,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,21,F,pension,CL4,0.000261,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,22,F,pension,CL4,0.000274,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,23,F,pension,CL4,0.000285,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,24,F,pension,CL4,0.000293,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,25,F,pension,CL4,0.000301,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,26,F,pension,CL4,0.000308,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,27,F,pension,CL4,0.000316,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,28,F,pension,CL4,0.000325,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,29,F,pension,CL4,0.000337,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,30,F,pension,CL4,0.000351,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,31,F,pension,CL4,0.000366,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,32,F,pension,CL4,0.000384,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,33,F,pension,CL4,0.000402,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,34,F,pension,CL4,0.000421,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,35,F,pension,CL4,0.000441,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,36,F,pension,CL4,0.000464,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,37,F,pension,CL4,0.000493,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,38,F,pension,CL4,0.000528,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,39,F,pension,CL4,0.000569,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,40,F,pension,CL4,0.000615,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,41,F,pension,CL4,0.000664,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,42,F,pension,CL4,0.000714,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,43,F,pension,CL4,0.000763,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,44,F,pension,CL4,0.000815,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,45,F,pension,CL4,0.000873,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,46,F,pension,CL4,0.000942,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,47,F,pension,CL4,0.001014,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,48,F,pension,CL4,0.001123,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,49,F,pension,CL4,0.001251,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,50,F,pension,CL4,0.001393,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,51,F,pension,CL4,0.001548,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,52,F,pension,CL4,0.001714,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,53,F,pension,CL4,0.001893,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,54,F,pension,CL4,0.002093,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,55,F,pension,CL4,0.002318,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,56,F,pension,CL4,0.002607,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,57,F,pension,CL4,0.002979,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,58,F,pension,CL4,0.00341,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,59,F,pension,CL4,0.003816,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,60,F,pension,CL4,0.004272,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,61,F,pension,CL4,0.004781,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,62,F,pension,CL4,0.005351,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,63,F,pension,CL4,0.005988,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,64,F,pension,CL4,0.006701,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,65,F,pension,CL4,0.007499,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,66,F,pension,CL4,0.008408,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,67,F,pension,CL4,0.009438,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,68,F,pension,CL4,0.010592,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,69,F,pension,CL4,0.011886,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,70,F,pension,CL4,0.013337,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,71,F,pension,CL4,0.014964,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,72,F,pension,CL4,0.016787,"CL(2000-2003), CIRC Notice ????2005?133?"
