date,csi300,sp500,stoxx50
2024-07-01,3478.183,5475.0898,4929.99
2024-07-02,3471.786,5509.0098,4906.33
2024-07-03,3463.414,5537.02,4965.8
2024-07-05,3431.061,5567.1899,4979.39
2024-07-08,3401.76,5572.8501,4969.82
2024-07-09,3439.811,5576.98,4903.61
2024-07-10,3428.966,5633.9102,4958.85
2024-07-11,3468.169,5584.54,4976.12
2024-07-12,3472.401,5615.3501,5043.01
2024-07-15,3476.247,5631.2202,4983.11
2024-07-16,3498.283,5667.2002,4947.83
2024-07-17,3501.584,5588.27,4891.46
2024-07-18,3520.931,5544.5898,4870.12
2024-07-19,3539.016,5505.0,4827.24
2024-07-22,3514.925,5564.4102,4897.44
2024-07-23,3439.878,5555.7402,4916.8
2024-07-24,3418.166,5427.1299,4861.87
2024-07-25,3399.272,5399.2202,4811.28
2024-07-26,3409.293,5459.1001,4862.5
2024-07-29,3390.742,5463.54,4815.39
2024-07-30,3369.382,5436.4399,4841.0
2024-07-31,3442.084,5522.2998,4872.93
2024-08-01,3419.267,5446.6802,4765.71
2024-08-02,3384.392,5346.5601,4638.69
2024-08-05,3343.321,5186.3301,4571.59
2024-08-06,3342.979,5240.0298,4575.21
2024-08-07,3341.489,5199.5,4668.05
2024-08-08,3342.937,5319.3101,4668.73
2024-08-09,3331.627,5344.1602,4675.27
2024-08-12,3325.865,5344.3901,4671.87
2024-08-13,3334.39,5434.4302,4694.91
2024-08-14,3309.239,5455.21,4727.6
2024-08-15,3341.953,5543.2202,4807.76
2024-08-16,3345.634,5554.25,4840.51
2024-08-19,3356.968,5608.25,4871.4
2024-08-20,3332.703,5597.1201,4857.57
2024-08-21,3321.635,5620.8501,4885.27
2024-08-22,3313.136,5570.6401,4884.99
2024-08-23,3327.191,5634.6099,4909.19
2024-08-26,3324.223,5616.8398,4896.68
2024-08-27,3305.334,5625.7998,4898.77
2024-08-28,3286.496,5592.1802,4913.02
2024-08-29,3277.681,5591.96,4966.26
2024-08-30,3321.432,5648.3999,4957.98
2024-09-03,3273.428,5528.9302,4912.51
2024-09-04,3252.165,5520.0698,4848.17
2024-09-05,3257.758,5503.4102,4815.14
2024-09-06,3231.346,5408.4199,4738.05
2024-09-09,3192.952,5471.0498,4778.66
2024-09-10,3195.755,5495.52,4747.2
2024-09-11,3186.13,5554.1299,4763.57
2024-09-12,3172.475,5595.7598,4814.07
2024-09-13,3159.247,5626.02,4843.98
